id,type,text1,text2,text3,text4,notes
espc_billhook,SHIP,"The Billhook, much like its ancient namesake, sees fit to delegate all responsibilities besides its own firepower to other ships. It focuses on a heavy main armament with exceptional range, at the expense of most else.

An asymmetric, elongated structure allows the mounting and firing of heavy weaponry at extreme range, discouraging barbs through the phalanx of its forward allies. A crowning large mount poses a heavy threat to the fastest and bulkiest of ships.

Much like the polearms of those ancient ages, this contemporary counterpart share many of the same weaknesses - unwieldiness up close and a certain demise uncovered.  For this reason it is loved and loathed in equal measure, by the rare officer who manages to acquire one and the crewmember whose safety becomes dependent on their restless entourage.","The Billhook, much like its ancient namesake, sees fit to delegate all responsibilities besides its own firepower to other ships. It focuses on a heavy main armament with exceptional range, at the expense of most else.",,,
espc_narthex,SHIP,"Taking inspiration from ancient rocket artillery, the Narthex serves as a little more than a mobile platform for its devastating missile artillery. Though made to engage from afar with heavy ordnance, its flexible mountings allow for acceptable close-in performance as part of a battle line.

Underlying systems allow it to feed munitions quickly in the heat of battle. Paired with a main armament independent of the ship's flux reserves, the Narthex is more than capable of striking hard against targets far larger than itself.

A common-pattern shield generator and relatively sparse mountings help lower production costs, but also leave the ship vulnerable when exhausted of its main battery. Though generally relegated to backline duty, the Narthex is just as often favoured by the bold, who see in it an alpha-strike capability matched by few destroyers of its size.","Taking inspiration from ancient rocket artillery, the Narthex serves as a little more than a mobile platform for its devastating missile artillery. Though made to engage from afar with heavy ordnance, its flexible mountings allow for acceptable close-in performance as part of a battle line.",,,
,,,,,,
espc_immolate,SHIP,"The Observer-class cruiser boasts omni-directional coverage, with a large energy turret backed by an array of smaller mounts. The novel technology underlying its shield emitter further bolsters its excellent defenses, making it an exceptionally effective anchor pound-for-pound.

A centrally-positioned major flux conduit beneath the main armament creates unique interactions with its shield emitter. This allows the Observer to absorb large amounts of damage over time, while still generating enough power to strike back with surprising fervor.

Somewhat thin armor-plating and surprisingly modest flux characteristics leave the Observer vulnerable when truly overwhelmed, a common critique exacerbated by a relative lack of alternative defensive options. Lone-wolf captains are thus a rarity for this class of hull, although its robust power core and numerous mounts are not to be underestimated in the hands of an ambitious crew.","The Immolate is clearly derived from welding two Ember-class tankers together. Doubling down on their cruel mockery of a conversion, pirates have installed an additional pair of fighter bays. Though severely underdeveloped in most regards, the core conceit of its design makes the Immolate an unusually imposing threat for its designation.

The majority of the Immolate's constituent hulls remain relatively intact, with their former cargo holds inverted to make room for additional fighter bays. Its rear nacelles remain intact, granting enough mileage to fuel an ambitious fleet for a generous distance. The only trait left less-than-doubled has been its flux network, mangled and inefficient, a saving grace for any traders it might encroach upon.",,,
espc_observer,SHIP,"The Observer-class cruiser boasts omni-directional coverage, with a large energy turret backed by an array of smaller mounts. The novel technology underlying its shield emitter further bolsters its excellent defenses, making it an exceptionally effective anchor pound-for-pound under the proper circumstances.

A centrally-positioned major flux conduit beneath the main armament creates unique interactions with its shield emitter. This allows the Observer to absorb large amounts of damage over time, while still generating enough power to strike back with surprising fervor. Somewhat thin armor-plating and otherwise modest flux characteristics leave the Observer vulnerable when truly overwhelmed, a common critique exacerbated by a relative lack of alternative defensive options.","The Observer-class cruiser boasts omni-directional coverage, with a large energy turret backed by an array of smaller mounts. The novel technology underlying its shield emitter further bolsters its excellent defenses, making it an exceptionally effective anchor pound-for-pound under the proper circumstances.",,,
espc_chorale,SHIP,"Boasting heavy ordnance and excellent flux throughput, the Chorale competes with hulls twice its size in terms of raw firepower. Its exceptional offensive capability is tempered only by the awkward alignment of its poorly defended broadside layout, demanding skillful and aggressive piloting to overcome.

The Chorale possesses a nigh-unmatched combination of speed and firepower for its class. When outfitted and piloted properly (both easier said than done), it is capable of outgunning battlecruisers whilst handily outmaneuvering their larger cousins. Said strengths come with significant drawbacks: Fitting such heavy firepower into a compact hull has resulted in awkward firing angles and esoteric mounting requirements, with little left in the way of defense.

Newer pilots invariably struggle to align their weapons whilst simultaneously protecting the ship's vulnerable starboard, often sending terrifying amounts of weapons fire flying right past their targets. For this reason, most fleets eventually end up scuttling salvaged instances of this hull.","Boasting heavy ordnance and excellent flux throughput, the Chorale competes with hulls twice its size in terms of raw firepower. Its exceptional offensive capability is tempered only by the awkward alignment of its poorly defended broadside layoutt, demanding skillful and aggressive piloting to overcome.",,,
espc_pilgrim,SHIP,"Though most Pact designs are an exception in one way or another, the Pilgrim is particularly distinct departure from their standard doctrine in its use of both modular missile mounts and hangars. It uses these together in tandem as a hybrid combat carrier and missile boat, a flexible and resilient front-line combatant in spite of its comparatively undersized affordances.

Compared to similar offerings, the Pilgrim sacrifices a hangar bay in exchange for advantages atypical of its designation. Crammed in its hangars are multitudes of low-powered assemblies, ensuring a constant stream of missiles to complement its fighter strikes. Although only capable of feeding smaller mounts, the consistent combined firepower of three distinct modes of ordnance makes for a respectably self-sufficient field presence.","Though most Pact designs are an exception in one way or another, the Pilgrim is particularly distinct departure from their standard doctrine in its use of both modular missile mounts and hangars. It uses these together in tandem as a hybrid combat carrier and missile boat, a flexible and resilient front-line combatant in spite of its comparatively undersized affordances.",,,
,,,,,,
espc_amanuensis,SHIP,"The Amanuensis is, in all ways, Pact naval doctrine writ large: Comparatively fragile, characteristically underarmed, horrendously overfluxed, yet undeniably dangerous in spite of it all. The relative obscurity of this design remains a fortuitous limiting factor.

Volatile as they may be, Pact designs serve an ultimately passive purpose. In a battle of attrition, crippling blows are dealt only to buy room for retreat. Quiet wars are won not with spectacle, but through dogged determination, discretion, and the patience to strike from the shadows.

The sight of an Amanuensis-class can only mean that the darkness is closing in.","The Amanuensis is, in all ways, Pact naval doctrine writ large: Comparatively fragile, characteristically underarmed, horrendously overfluxed, yet undeniably dangerous in spite of it all. The relative obscurity of this design remains a fortuitous limiting factor.",,,
espc_atavist,SHIP,"The Atavist is perhaps more a grossly oversized frigate than it is a proper capital. In exchange for anemic armor plating, a pittance of flux capacity, and a complete lack of large mounts, it bears a frightening combination of mobility and obscene frontal firepower.

A startling level of agility allows it to pick and choose fights, and even dodge incoming fire - quite a feat to witness from a capital-grade (if in name only) ship. Capable of engaging from significant range and able to vent in seconds, it presents a major threat left unchallenged by anything larger than itself. Woe be the naive cruiser that strays too close, only to disappear in a sudden hail of gunfire. 

The brutally simple design principles of this ship leave little room for much more than brief duels, a limited role it depend on to exert its presence in battle. With glass bones and sharp fangs, this ship runs on little more than sheer willpower and an absurd quantity of small-scale ballistic potential.","The Atavist is perhaps more a grossly oversized frigate than it is a proper capital. In exchange for anemic armor plating, a pittance of flux capacity, and a complete lack of large mounts, it bears a frightening combination of mobility and obscene frontal firepower. Dependent on skirmishing its goliath competitors and eating smaller targets alive, the Atavist runs on little more than sheerpower, and an absurd quantity of small-scale ballistic potential.",,,
espc_gallant,SHIP,"An unprecedented combination of raw speed and firepower, the Serenade competes with both the quickest and the brawniest of its class. Though cumbersome maneuverability and a strict broadside configuration can leave its aft and prow vulnerable, few hulls can confidently keep up with the blistering pace of this imposing battleship.

Though in some ways inspired by Domain-era doctrine, the Serenade more closely follows after the ancient naval ship of the line, pummeling passing targets in brief and brutal broadside confrontations. The thought of taking re-purposing the doctrine of wooden hulls for spacefaring combat seems ludicrous - and perhaps that was what motivated Pact engineers to explore this untread territory.

The Serenade's thrust is concentrated almost entirely forwards through a massive main nacelle, making turning a convoluted affair at the best of times, let alone during full burn. In exchange, this grants it exceptional sustained speed for a ship so well armed. Few other ships are able to burn across the battlefield and deliver torpedo-strength salvos, although none find it as difficult to train their guns on their targets.

The Serenade serves a vital role as the Epsilon navy's largest and strongest fleet anchor, albeit an unusually mobile one. In spite of the rather questionable doctrinal choices inherent to its design, its heavy ballistic arrays are a fearsome sight for any battleship to confront.","An unprecedented combination of raw speed and firepower, the Serenade competes with both the quickest and the brawniest of its class. Though cumbersome maneuverability and a strict broadside configuration can leave its aft and prow vulnerable, few hulls can confidently keep up with the blistering pace of this imposing battleship.",,,
,,,,,,
espc_defender,SHIP,"Formerly an automated war droneship of the Domain Explorarium, this ship ended up serving with the Epsilon Pact for reasons unknown, through means unknowable. Generally fitted with improved offensive and defensive capabilities, and compounded with a newfound instinct for self-preservation, these fearsome designs present a unique threat far-removed from their original doctrine. The tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.

The Pact's update of the Warden is still somewhat clumsy and singular in purpose - arguably moreso, given a greater concentration of firepower through its medium mount. The ability to mount outsized energy weapons on such a small platform is a cause for concern when facing these ships, especially considering their unaltered logistical footprint.","Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.",,,
espc_warden,SHIP,"Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.","Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.",,,
espc_sentry,SHIP,"Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.

Outfitted with a hangar of modified borer drones, the Pact Sentry makes for a surprisingly effective support ship. Internal nanoforges allow it to fire a virtually endless stream of missiles via its drones, as long as its manufactory remains intact.","Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.",,,
espc_picket,SHIP,"Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.

Using specialized mountings fitted with bespoke ammo-feeds, the Pact Picket can discharge disturbing quantities of ordnance instantaneously. A lightweight chassis lends itself to a fast retreat, making it difficult to catch even without the engine augmentations of its prior iteration.","Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.",,,
espc_bastillon,SHIP,"Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.

Given matching pairs of heavier mountings and stronger engines, the Pact Bastillon wields significant, albeit still small-scale firepower. Its newfound speed and upgraded power core allow it to stand toe-to-toe with other destroyers, using its litany of mounts to drown out threats beneath a hail of fire.","Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.",,,
espc_berserker,SHIP,"Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.

The Pact Berserker bears even greater firepower than the original hull. Its multitudinous mounts are loaded with specialized, high-powered munitions, well capable of punching through capital-grade armor plating.","Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.",,,
espc_rampart,SHIP,"Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.

The Pact Rampart is the only Explorarium revision to lack an added shield generator, instead endowed with capital-grade plating and revised underlying circuitry. The latter allows it to drain its capacitors in an instant, quickly overwhelming targets with lethal opening strikes.","Formerly an automated war droneship of the Domain Explorarium, this ship has ended up serving with the Epsilon Pact through means unknown and for reasons unknowable. Fitted with improved combat capabilities, the tendency of these hulls to sometimes depart from the Pact and rejoin their original fleets remains a point of diplomatic tension with the rest of the sector.",,,
,,,,,,
espc_venture,SHIP,"A strange offshoot of the Venture unknown to any databases, this hull has almost completely substituted the missile firepower it was once dependent on for weaponry it cannot support. Its mining pods have been melded into crude approximations of escort fighters. An altogether uncanny result, that your engineers prefer not to dwell on.

Tough, dependable and not overly expensive, Venture-class cruisers are usually constructed by private corporations for escort duty or by small non-aligned worlds for system defense.

The Venture-class ships are perhaps the most widely used civilian cruisers in the Sector. The blueprints for the Venture are widely available and can often be secured without too much trouble. 

When used by small corporations, the ship is usually the pride of the fleet and is used to underpin vital operations. Due to its ubiquity, the vessel also serves with quite a few pirate outfits, where it sometimes fills the role of command ship.","A strange offshoot of the Venture unknown to any databases, this hull has almost completely substituted the missile firepower it was once dependent on for weaponry it cannot support. Its mining pods have been melded into crude approximations of escort fighters. An altogether uncanny result, that your engineers prefer not to dwell on.",,,
,,,,,,
espc_gatflet,WEAPON,"Fires spreads of fragmentation rounds, ramping up in speed during sustaind fire. Effective at countering persistent targets, but can falter due to slow tracking.

An unorthodox combination of flechette rounds with an intertial feed system, the intuitively named Gatling Flechette boasts strong defensive capability at an appreciable range. Due to a noticeable wind-up duration, this weapon is often combined with more traditional point-defense measures for best results.

Although devastating at full spin, other aspects of this weapon leave it an uncommon sight across the sector: Namely, the manufacturing complexity and mounting difficulties caused by its bespoke ammunition type and feed.",,,,
espc_railflet,WEAPON,"Fires bursts of small kinetic flechettes. Exceptionally efficient against shields, but highly inaccurate and ineffective against armor.

This weapon shoots a tight spread of flechettes, utilizing the increased pressure and ow mass of its contents to fire at higher velocities than most weapons of its scale. The usage of flechette rounds limits the effective range and penetrative power of shots, dealing minimal armor damage compared to an equivalent sized singular payload.",,,,
espc_minimir,WEAPON,"This weapon's specialized energy projectiles are inefficient, but mitigate damage-reducing effects - making it especially potent against ships reliant on hardened armor or shielding.

A miniaturization of the Mjolnir Cannon, the aptly named ""Minimir"" carries over its predecessor's disadvantages. Heavy flux consumption and lackluster generalist performance render this weapon's efficacy questionable at face value. The smaller platform is unable to replicate the Mjolnir's gravitic lenses, losing the associated and highly valued EMP effect.

The specific workings of this system, however, create an unexpected advantage: The n-th dimensional characteristics of its micro-singularities mitigate the effects of common field-modulization and armor construction techniques, allowing strikes against heavier defenses with more force than normal. This phenomenae is too convoluted in nature to be replicated outside of the Minimir's unique lensing, ensuring its role as a dedicated anti-escort measure.",,,,
,,,,,,
,,,,,,
espc_minimirdual,WEAPON,"A dual-mounted variation of the original Minimir cannon, the medium version's slightly enlarged lenses improve performance against armor at the cost of flux efficiency.

A miniaturization of the Mjolnir Cannon, the aptly named ""Minimir"" carries over its predecessor's disadvantages. Heavy flux consumption and lackluster generalist performance render this weapon's efficacy questionable at face value. The smaller platform is unable to replicate the Mjolnir's gravitic lenses, losing the associated and highly valued EMP effect.

The specific workings of this system, however, create an unexpected advantage: The n-th dimensional characteristics of its micro-singularities mitigate the effects of common field-modulization and armor construction techniques, allowing strikes against heavier defenses with more force than normal. This phenomenae is too convoluted in nature to be replicated outside of the Minimir's unique lensing, ensuring its role as a dedicated anti-escort measure.",,,,
espc_aa,WEAPON,"A self-loading shotgun that fires kinetic spreads, overwhelming shield projectors from long range. Limited by inherent inaccuracy and a small tube capacity, necessitating frequent downtime for reloads.

Atypical for armament of its size, the Scattershot's flechette rounds allow for relatively efficient operation at very appreciable range. A short mechanism lends itself to a fast cyclic rate, although this limits capacity due to the system's small tube size.

Though capable of excellent ranged burst damage, its operation comes with notable downsides as well - namely, poor accuracy at range, weighty installation requirements, and low hit-strength. Few care to budget for its operational costs, outside of the weapon's originators.",,,,
espc_as,WEAPON,"A makeshift variant of the Auto Scattershot, replacing its exotic flechettes with heavy, solid slugs. Easier to mount, but suffers from terrible accuracy and mediocre efficiency.

Replacing the Scattershot's expensive flechette rounds with solid slugs results in a weapon system with excellent theoretical characteristics but lackluster practical results - typical of pirate designs.

Without the spread of flechette rounds, the slugshot's efficacy at range is even less reliable. Close-in performance, however, remains solid, and the use of more conventional projectiles results in significantly reduced mounting requirements and operational costs.",,,,
espc_remdriver,WEAPON,"Fires fast, hard-hitting rounds, but at an anemic pace. Capable of significantly increased fire throughput when paired with its companion weapon, the Remise Mortar.

The Remise Rifle is in some ways similar to common coilgun weaponry, accelerating rounds with an electromagnetic charge. However, rounds are catalyzed with a relatively lightweight explosive primer, with electro-magnetic impulse occuring afterwards. Though operation is highly efficient and ballistic characteristics are strong, the intense electrical requirements require a lengthy cooldown period to maintain system accuracy and reliability.

Soon after testing began, the Remise Mortar was designed as a way to circumvent the Rifle's strict operational shortcomings. Its high-explosive charges not only offer potent anti-armor capability once shields are suppressed, but also generate precise, long-range IR signatures on detonation; the Remise Rifle can track these through its own field, using pre-existing charge to fire additional rounds with insignificant power draw.",,,,
espc_remmortar,WEAPON,"Fires slow and heavy explosive rounds with strong anti-armor performance but poor efficiency. Mainly serves as targeting assistance for its companion weapon, the Remise Rifle.

Compared to traditional breech-loaded mortars, the Remise Mortar utilizes a purpose-made loading system and fires heavier charges. A relatively slow travel velocity ensures a consistent impact vector, allowing for strong anti-armor performance.

Charges from the Remise Mortar are surprisingly delicate, requiring unusually strict engineering tolerances. When fired, rounds are imbued with precise levels of short-lived ionic charge through the barrel. This causes detonations create a distinct IR signature that can be tracked from the original firing position, utilized by Remise Rifles to overcome the intense EM signature generated by their operation.",,,,
,,,,,,
espc_ionflail,WEAPON,"The Ion Flail is unusual for the arcing trajectories of its exotic projectiles. Electromagnetic pulses curve perpendicularly, aiming to circumvent front-facing shields and disable systems from more vulnerable angles.

Ignoring standard protocol for ionized baryonic matter projection, the ion flail instead intensifies energy through the medium in such excess that projectiles are better described as """"chaotic masses"""" rather than bolts or balls.

Whilst much ionic energy is lost prior to impact due to instability, the excess projection creates a localized axis ahead of the medium that the projectile is inclined to orbit around. This creates two notable side-effects: the titular flail-like trajectory created by angling the shot, and an intense gravimetric shockwave on impact. Gravitrons only have an observable effect on persistent matter, thus the latter phenomena does not affect shields.",,,,
espc_fission,WEAPON,"""Bear witness to our fleet in blessed choir,
whose racuous din reports soliloquies
for floating coffins bathed in cannon fire,
a cosmic hymn we'll carve in void debris!""","- Anlo Uisarr, sermon to the Tocquieran Conference c+200",,,
espc_riftspear,WEAPON,"""Whistling trees, bristling fur,
Sea to sea and in the earth,
Sun and sky, flame and rime,
To the ends of space and time.""","- Vidi Venren, opening prayer of annual sermon to the Tocquiera Pact c+193",,,
espc_amflamersolo,WEAPON,"Draws from the ship's AM fuel reserves to fire a stream of superheated plasma, scorching targets and melting nearby fighters and missiles. Performance becomes unreliable as reserves deplete, with potentially severe consequences.

Someone has made the rather inadvisable decision to decouple the AM Flamer from its bespoke mounting on the Ember-class hull, instead providing it with jerry-rigged reserves. The resulting weapon is still exceptionally dangerous, but for its user as well.

Although simple in concept, the AM Flamer is deceptively complex operationally. Creating a (relatively) controlled, high-energy stream from the initially inert fullerene form-factor of AM fuel requires considerable energy expenditure, though only trivial quantities are actually necessary to catalyze the reaction.

With a direct link to the hull's fuel reserves, the Solo variant of the AM Flamer is capable of functioning without operational degradation, although it is prone to experiencing malfunctions. The risk of malfunction rises as the weapon's independent, immediate reserves begin to drain, and internal pressure begins to rise relative to the volumes supplied.",,,,
,,,,,,
espc_finnegan,WEAPON,"Launches massive, armored warheads with no on-board propulsion. Their sheer mass tanks defensive fire and strains shields on impact, but the payload itself is relatively undersized.

The unusual nature of the Finnegan's operation owes itself to its use of a dense, depleted-uranium outer shell. Designed primarily to protect its payload, their simple nature also allows for an equally simplistic firing mechanism that enables impressive launch velocity.

Being thick enough to shrug off a considerable amount of fire, the armored shell precludes the use of contact fuses - thus, the Finnegan's bombs operate on a timer. Although bombs often end up bouncing away from their target before detonation, the force of the impact itself isn't easily ignored either.",,,,
,,,,,,
espc_mkl,WEAPON,"Fires heavy kinetic projectiles at an oppressive rate, obliterating shields and hull alike. Generates an exceptional amount of flux, often monopolizing capacitors during sustained fire.

Originally intended for use as shield-breaking artillery on planetary batteries, the Type XII provides astonishing damage output capable of crippling capital-scale shielding in mere seconds. The XII-a compact variant retains the original's short-term firepower, at the expense of equally crippling flux generation for the firing ship.

Without the requisite auxiliary systems the original design relies on, the Type XII-a suffers from horrid inefficiency and limited feed throughput. Larger hulls struggle to dissipate excess flux, and smaller hulls lack the capacity to utilize its firepower without endangering themselves. In the right place and time, however, the raw damage potential it brings to bear is near unmatched.",,,,
